Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,Sierra Leone,7/29/2015,4309
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,7/29/2015,3951
Cumulative number of probable Ebola cases,Liberia,7/29/2015,1879
Cumulative number of confirmed Ebola cases,Sierra Leone,7/29/2015,8694
Cumulative number of suspected Ebola cases,Liberia,7/29/2015,5636
Cumulative number of suspected Ebola deaths,Sierra Leone,7/29/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,7/29/2015,10666
Cumulative number of suspected Ebola cases,Guinea,7/29/2015,9
Cumulative number of probable Ebola deaths,Sierra Leone,7/29/2015,208
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,7/29/2015,2520
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,7/29/2015,20
Cumulative number of confirmed Ebola cases,Guinea,7/29/2015,3326
Cumulative number of probable Ebola deaths,Guinea,7/29/2015,451
Number of confirmed Ebola cases in the last 21 days,Liberia 2,7/29/2015,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,7/29/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,7/29/2015,6
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,7/29/2015,3
Cumulative number of confirmed Ebola deaths,Liberia 2,7/29/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,7/29/2015,6
Cumulative number of probable Ebola cases,Liberia 2,7/29/2015,0
Cumulative number of confirmed Ebola cases,Italy,7/29/2015,1
Cumulative number of probable Ebola cases,Italy,7/29/2015,0
Cumulative number of suspected Ebola cases,Italy,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,7/29/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,7/29/2015,1
Cumulative number of probable Ebola cases,United Kingdom,7/29/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,7/29/2015,1
Cumulative number of confirmed Ebola cases,Mali,7/29/2015,7
Cumulative number of probable Ebola cases,Mali,7/29/2015,1
Cumulative number of suspected Ebola cases,Mali,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,7/29/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,7/29/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,7/29/2015,19
Cumulative number of probable Ebola cases,Nigeria,7/29/2015,1
Cumulative number of suspected Ebola cases,Nigeria,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,7/29/2015,20
Cumulative number of confirmed Ebola cases,Senegal,7/29/2015,1
Cumulative number of probable Ebola cases,Senegal,7/29/2015,0
Cumulative number of suspected Ebola cases,Senegal,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,7/29/2015,1
Cumulative number of confirmed Ebola cases,Spain,7/29/2015,1
Cumulative number of probable Ebola cases,Spain,7/29/2015,0
Cumulative number of suspected Ebola cases,Spain,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,7/29/2015,1
Cumulative number of confirmed Ebola cases,United States of America,7/29/2015,4
Cumulative number of probable Ebola cases,United States of America,7/29/2015,0
Cumulative number of suspected Ebola cases,United States of America,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,7/29/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,7/29/2015,7
Cumulative number of probable Ebola deaths,Nigeria,7/29/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,7/29/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,7/29/2015,0
Cumulative number of probable Ebola deaths,Senegal,7/29/2015,0
Cumulative number of suspected Ebola deaths,Senegal,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,7/29/2015,0
Cumulative number of confirmed Ebola deaths,Spain,7/29/2015,0
Cumulative number of probable Ebola deaths,Spain,7/29/2015,0
Cumulative number of suspected Ebola deaths,Spain,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,7/29/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,7/29/2015,1
Cumulative number of probable Ebola deaths,United States of America,7/29/2015,0
Cumulative number of suspected Ebola deaths,United States of America,7/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,7/29/2015,1
Cumulative number of confirmed Ebola deaths,Sierra Leone,7/30/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,7/30/2015,4806
Cumulative number of probable Ebola deaths,Sierra Leone,7/30/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,7/30/2015,158
Cumulative number of confirmed Ebola cases,Liberia,7/30/2015,3151
Cumulative number of suspected Ebola cases,Sierra Leone,7/30/2015,4398
Cumulative number of probable Ebola cases,Guinea,7/30/2015,452
Cumulative number of confirmed Ebola cases,Sierra Leone,7/30/2015,8694
Cumulative number of suspected Ebola cases,Liberia,7/30/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,7/30/2015,3785
Cumulative number of probable Ebola cases,Sierra Leone,7/30/2015,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,7/30/2015,13379
Cumulative number of confirmed Ebola cases,Guinea,7/30/2015,3326
Cumulative number of probable Ebola cases,Liberia,7/30/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,7/30/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,7/30/2015,3951
Cumulative number of suspected Ebola cases,Guinea,7/30/2015,7
Cumulative number of probable Ebola deaths,Guinea,7/30/2015,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,7/30/2015,2521
Cumulative number of confirmed Ebola deaths,Guinea,7/30/2015,2069
Cumulative number of probable Ebola cases,Liberia 2,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,7/30/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,7/30/2015,6
Cumulative number of confirmed Ebola deaths,Liberia 2,7/30/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,7/30/2015,2
Cumulative number of confirmed Ebola cases,Italy,7/30/2015,1
Cumulative number of probable Ebola cases,Italy,7/30/2015,0
Cumulative number of suspected Ebola cases,Italy,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,7/30/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,7/30/2015,1
Cumulative number of probable Ebola cases,United Kingdom,7/30/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,7/30/2015,1
Cumulative number of confirmed Ebola cases,Mali,7/30/2015,7
Cumulative number of probable Ebola cases,Mali,7/30/2015,1
Cumulative number of suspected Ebola cases,Mali,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,7/30/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,7/30/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,7/30/2015,19
Cumulative number of probable Ebola cases,Nigeria,7/30/2015,1
Cumulative number of suspected Ebola cases,Nigeria,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,7/30/2015,20
Cumulative number of confirmed Ebola cases,Senegal,7/30/2015,1
Cumulative number of probable Ebola cases,Senegal,7/30/2015,0
Cumulative number of suspected Ebola cases,Senegal,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,7/30/2015,1
Cumulative number of confirmed Ebola cases,Spain,7/30/2015,1
Cumulative number of probable Ebola cases,Spain,7/30/2015,0
Cumulative number of suspected Ebola cases,Spain,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,7/30/2015,1
Cumulative number of confirmed Ebola cases,United States of America,7/30/2015,4
Cumulative number of probable Ebola cases,United States of America,7/30/2015,0
Cumulative number of suspected Ebola cases,United States of America,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,7/30/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,7/30/2015,7
Cumulative number of probable Ebola deaths,Nigeria,7/30/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,7/30/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,7/30/2015,0
Cumulative number of probable Ebola deaths,Senegal,7/30/2015,0
Cumulative number of suspected Ebola deaths,Senegal,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,7/30/2015,0
Cumulative number of confirmed Ebola deaths,Spain,7/30/2015,0
Cumulative number of probable Ebola deaths,Spain,7/30/2015,0
Cumulative number of suspected Ebola deaths,Spain,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,7/30/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,7/30/2015,1
Cumulative number of probable Ebola deaths,United States of America,7/30/2015,0
Cumulative number of suspected Ebola deaths,United States of America,7/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,7/30/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,7/31/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,7/31/2015,287
Cumulative number of confirmed Ebola cases,Guinea,7/31/2015,3326
Cumulative number of probable Ebola cases,Liberia,7/31/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,7/31/2015,3951
Cumulative number of suspected Ebola cases,Guinea,7/31/2015,3
Cumulative number of probable Ebola deaths,Sierra Leone,7/31/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,7/31/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,7/31/2015,3781
Cumulative number of confirmed Ebola deaths,Sierra Leone,7/31/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,7/31/2015,2521
Cumulative number of suspected Ebola cases,Sierra Leone,7/31/2015,4406
Cumulative number of probable Ebola cases,Guinea,7/31/2015,452
Cumulative number of suspected Ebola cases,Liberia,7/31/2015,5636
Cumulative number of probable Ebola deaths,Guinea,7/31/2015,452
Cumulative number of confirmed Ebola cases,Liberia,7/31/2015,3151
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,7/31/2015,13387
Cumulative number of confirmed Ebola cases,Sierra Leone,7/31/2015,8694
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,7/31/2015,10666
Cumulative number of confirmed Ebola deaths,Guinea,7/31/2015,2069
Cumulative number of confirmed Ebola deaths,Liberia 2,7/31/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,7/31/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,7/31/2015,6
Cumulative number of probable Ebola cases,Liberia 2,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,7/31/2015,2
Cumulative number of confirmed Ebola cases,Italy,7/31/2015,1
Cumulative number of probable Ebola cases,Italy,7/31/2015,0
Cumulative number of suspected Ebola cases,Italy,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,7/31/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,7/31/2015,1
Cumulative number of probable Ebola cases,United Kingdom,7/31/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,7/31/2015,1
Cumulative number of confirmed Ebola cases,Mali,7/31/2015,7
Cumulative number of probable Ebola cases,Mali,7/31/2015,1
Cumulative number of suspected Ebola cases,Mali,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,7/31/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,7/31/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,7/31/2015,19
Cumulative number of probable Ebola cases,Nigeria,7/31/2015,1
Cumulative number of suspected Ebola cases,Nigeria,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,7/31/2015,20
Cumulative number of confirmed Ebola cases,Senegal,7/31/2015,1
Cumulative number of probable Ebola cases,Senegal,7/31/2015,0
Cumulative number of suspected Ebola cases,Senegal,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,7/31/2015,1
Cumulative number of confirmed Ebola cases,Spain,7/31/2015,1
Cumulative number of probable Ebola cases,Spain,7/31/2015,0
Cumulative number of suspected Ebola cases,Spain,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,7/31/2015,1
Cumulative number of confirmed Ebola cases,United States of America,7/31/2015,4
Cumulative number of probable Ebola cases,United States of America,7/31/2015,0
Cumulative number of suspected Ebola cases,United States of America,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,7/31/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,7/31/2015,7
Cumulative number of probable Ebola deaths,Nigeria,7/31/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,7/31/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,7/31/2015,0
Cumulative number of probable Ebola deaths,Senegal,7/31/2015,0
Cumulative number of suspected Ebola deaths,Senegal,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,7/31/2015,0
Cumulative number of confirmed Ebola deaths,Spain,7/31/2015,0
Cumulative number of probable Ebola deaths,Spain,7/31/2015,0
Cumulative number of suspected Ebola deaths,Spain,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,7/31/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,7/31/2015,1
Cumulative number of probable Ebola deaths,United States of America,7/31/2015,0
Cumulative number of suspected Ebola deaths,United States of America,7/31/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,7/31/2015,1
Cumulative number of confirmed Ebola cases,Liberia,8/3/2015,3151
Cumulative number of suspected Ebola cases,Sierra Leone,8/3/2015,4420
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/3/2015,13402
Cumulative number of probable Ebola cases,Liberia,8/3/2015,1879
Cumulative number of confirmed Ebola cases,Sierra Leone,8/3/2015,8695
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/3/2015,10666
Cumulative number of probable Ebola cases,Sierra Leone,8/3/2015,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/3/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/3/2015,2522
Cumulative number of suspected Ebola deaths,Sierra Leone,8/3/2015,158
Cumulative number of suspected Ebola cases,Liberia,8/3/2015,5636
Cumulative number of probable Ebola deaths,Guinea,8/3/2015,452
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/3/2015,4806
Cumulative number of probable Ebola deaths,Sierra Leone,8/3/2015,208
Cumulative number of confirmed Ebola deaths,Guinea,8/3/2015,2070
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/3/2015,3951
Cumulative number of suspected Ebola cases,Guinea,8/3/2015,7
Cumulative number of confirmed Ebola cases,Guinea,8/3/2015,3327
Cumulative number of probable Ebola cases,Guinea,8/3/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/3/2015,3786
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/3/2015,2
Cumulative number of confirmed Ebola deaths,Liberia 2,8/3/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/3/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,8/3/2015,6
Cumulative number of confirmed Ebola cases,Italy,8/3/2015,1
Cumulative number of probable Ebola cases,Italy,8/3/2015,0
Cumulative number of suspected Ebola cases,Italy,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/3/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/3/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/3/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/3/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/3/2015,7
Cumulative number of probable Ebola cases,Mali,8/3/2015,1
Cumulative number of suspected Ebola cases,Mali,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/3/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/3/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/3/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/3/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/3/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/3/2015,1
Cumulative number of probable Ebola cases,Senegal,8/3/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/3/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/3/2015,1
Cumulative number of probable Ebola cases,Spain,8/3/2015,0
Cumulative number of suspected Ebola cases,Spain,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/3/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/3/2015,4
Cumulative number of probable Ebola cases,United States of America,8/3/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/3/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/3/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/3/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/3/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/3/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/3/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/3/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/3/2015,0
Cumulative number of probable Ebola deaths,Spain,8/3/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/3/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/3/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/3/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/3/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/3/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/4/2015,4806
Cumulative number of confirmed Ebola cases,Liberia,8/4/2015,3151
Cumulative number of probable Ebola cases,Liberia,8/4/2015,1879
Cumulative number of suspected Ebola cases,Sierra Leone,8/4/2015,4424
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/4/2015,3951
Cumulative number of suspected Ebola cases,Liberia,8/4/2015,5636
Cumulative number of probable Ebola cases,Sierra Leone,8/4/2015,287
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/4/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/4/2015,13406
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/4/2015,10666
Cumulative number of suspected Ebola deaths,Sierra Leone,8/4/2015,158
Cumulative number of probable Ebola deaths,Guinea,8/4/2015,452
Cumulative number of confirmed Ebola cases,Guinea,8/4/2015,3327
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/4/2015,2522
Cumulative number of probable Ebola cases,Guinea,8/4/2015,452
Cumulative number of suspected Ebola cases,Guinea,8/4/2015,5
Cumulative number of probable Ebola deaths,Sierra Leone,8/4/2015,208
Cumulative number of confirmed Ebola cases,Sierra Leone,8/4/2015,8695
Cumulative number of confirmed Ebola deaths,Guinea,8/4/2015,2070
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/4/2015,3784
Cumulative number of probable Ebola cases,Liberia 2,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/4/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,8/4/2015,6
Cumulative number of confirmed Ebola deaths,Liberia 2,8/4/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/4/2015,6
Cumulative number of confirmed Ebola cases,Italy,8/4/2015,1
Cumulative number of probable Ebola cases,Italy,8/4/2015,0
Cumulative number of suspected Ebola cases,Italy,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/4/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/4/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/4/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/4/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/4/2015,7
Cumulative number of probable Ebola cases,Mali,8/4/2015,1
Cumulative number of suspected Ebola cases,Mali,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/4/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/4/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/4/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/4/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/4/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/4/2015,1
Cumulative number of probable Ebola cases,Senegal,8/4/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/4/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/4/2015,1
Cumulative number of probable Ebola cases,Spain,8/4/2015,0
Cumulative number of suspected Ebola cases,Spain,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/4/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/4/2015,4
Cumulative number of probable Ebola cases,United States of America,8/4/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/4/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/4/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/4/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/4/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/4/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/4/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/4/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/4/2015,0
Cumulative number of probable Ebola deaths,Spain,8/4/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/4/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/4/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/4/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/4/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/4/2015,1
Cumulative number of suspected Ebola cases,Liberia,8/5/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/5/2015,4806
Cumulative number of suspected Ebola deaths,Sierra Leone,8/5/2015,158
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,8/5/2015,27
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/5/2015,13406
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/5/2015,2522
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,8/5/2015,7
Cumulative number of probable Ebola deaths,Guinea,8/5/2015,452
Cumulative number of confirmed Ebola cases,Liberia,8/5/2015,3151
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/5/2015,3585
Cumulative number of probable Ebola deaths,Sierra Leone,8/5/2015,208
Cumulative number of probable Ebola cases,Sierra Leone,8/5/2015,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/5/2015,3784
Cumulative number of confirmed Ebola cases,Guinea,8/5/2015,3327
Cumulative number of probable Ebola cases,Guinea,8/5/2015,452
Cumulative number of confirmed Ebola cases,Sierra Leone,8/5/2015,8695
Cumulative number of suspected Ebola cases,Guinea,8/5/2015,5
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,8/5/2015,7
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/5/2015,10666
Cumulative number of suspected Ebola cases,Sierra Leone,8/5/2015,4424
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/5/2015,3951
Number of confirmed Ebola cases in the last 21 days,Guinea,8/5/2015,27
Cumulative number of probable Ebola cases,Liberia,8/5/2015,1879
Cumulative number of confirmed Ebola deaths,Guinea,8/5/2015,2070
Cumulative number of confirmed Ebola deaths,Liberia 2,8/5/2015,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/5/2015,6
Cumulative number of probable Ebola cases,Liberia 2,8/5/2015,0
Number of confirmed Ebola cases in the last 21 days,Liberia 2,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/5/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,8/5/2015,6
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia 2,8/5/2015,0
Cumulative number of confirmed Ebola cases,Italy,8/5/2015,1
Cumulative number of probable Ebola cases,Italy,8/5/2015,0
Cumulative number of suspected Ebola cases,Italy,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/5/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/5/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/5/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/5/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/5/2015,7
Cumulative number of probable Ebola cases,Mali,8/5/2015,1
Cumulative number of suspected Ebola cases,Mali,8/5/2015,0
